,operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,numNodes,tasksPerNode,parallelism,totalTime_beegfs,totalTime_localssd,totalTime_nfs,totalTime_tmpfs,trMiB_beegfs,trMiB_localssd,trMiB_nfs,trMiB_tmpfs,trMiB_ave_beegfs,trMiB_ave_localssd,trMiB_ave_nfs,trMiB_ave_tmpfs,selectStorage
380,0.0,0.0,1048576.0,5120.0,8.0,1.0,8.0,8.0,0.999,6.881266666666666,45.559200000000004,0.2683,5125.933066666667,744.9453,112.38126666666666,19101.380699999998,9268.484516666667,2364.5208749999997,410.425575,23438.190491666668,nfs
381,0.0,0.0,1048576.0,5120.0,8.0,2.0,4.0,8.0,0.4428666666666667,5.046566666666666,22.89463333333333,0.22240000000000001,11577.050666666668,1377.3247333333331,223.6333666666667,23022.8221,9268.484516666667,2364.5208749999997,410.425575,23438.190491666668,nfs
382,0.0,0.0,1048576.0,5120.0,8.0,4.0,2.0,8.0,0.5111,1.2943666666666667,11.599733333333333,0.20583333333333334,10080.8588,4079.3219666666664,441.38983333333334,24910.4477,9268.484516666667,2364.5208749999997,410.425575,23438.190491666668,ave_nfs
383,0.0,0.0,1048576.0,5120.0,8.0,8.0,1.0,8.0,0.49853333333333333,1.5722666666666667,5.923966666666668,0.19166666666666665,10290.095533333333,3256.4915,864.2978333333334,26718.111466666665,9268.484516666667,2364.5208749999997,410.425575,23438.190491666668,ave_nfs
384,0.0,0.0,1048576.0,5120.0,16.0,1.0,16.0,16.0,1.1316333333333333,7.607166666666667,45.4334,0.1880666666666667,4524.818666666666,673.4936666666666,112.6925,27290.851333333336,14866.442673333333,2829.9022600000003,415.9086666666667,33137.659466666664,nfs
385,0.0,0.0,1048576.0,5120.0,16.0,2.0,8.0,16.0,0.38166666666666665,4.9401,22.77433333333333,0.15943333333333334,13456.891833333333,1282.6328333333333,224.81463333333332,32153.43966666666,14866.442673333333,2829.9022600000003,415.9086666666667,33137.659466666664,nfs
386,0.0,0.0,1048576.0,5120.0,16.0,4.0,4.0,16.0,0.27296666666666664,2.078066666666667,11.470733333333333,0.1268,18939.992866666667,2486.808333333333,446.35279999999995,40580.495566666665,14866.442673333333,2829.9022600000003,415.9086666666667,33137.659466666664,ave_nfs
387,0.0,0.0,1048576.0,5120.0,16.0,8.0,2.0,16.0,0.35233333333333333,1.4894333333333334,5.819733333333333,0.1114,14554.2685,3455.8195,879.7747333333333,46001.8972,14866.442673333333,2829.9022600000003,415.9086666666667,33137.659466666664,ave_nfs
388,0.0,0.0,1048576.0,5120.0,16.0,16.0,1.0,16.0,0.22433333333333336,0.8207,,0.26043333333333335,22856.2415,6250.756966666667,,19661.613566666667,14866.442673333333,2829.9022600000003,,33137.659466666664,ave_localssd
389,0.0,0.0,1048576.0,5120.0,32.0,1.0,32.0,32.0,1.1462333333333332,4.9646,45.35033333333333,0.11846666666666666,4467.0633333333335,1031.6294,112.89883333333334,43345.097766666666,15819.43816,3277.5375466666665,789.8914133333333,55090.318838888874,nfs
390,0.0,0.0,1048576.0,5120.0,32.0,2.0,16.0,32.0,0.4065666666666667,5.627066666666667,22.7076,0.1092,12594.729333333335,1150.1826,225.475,46908.55473333333,15819.43816,3277.5375466666665,789.8914133333333,55090.318838888874,nfs
391,0.0,0.0,1048576.0,5120.0,32.0,4.0,8.0,32.0,0.24433333333333332,2.059366666666667,11.401466666666666,0.07486666666666668,21650.033033333333,3327.2558666666664,449.0647666666667,68709.69966666667,15819.43816,3277.5375466666665,789.8914133333333,55090.318838888874,nfs
392,0.0,0.0,1048576.0,5120.0,32.0,8.0,4.0,32.0,0.36323333333333335,1.3715666666666666,5.7743,0.06923333333333333,14156.940466666667,3732.9347666666667,886.7198333333332,74013.00723333334,15819.43816,3277.5375466666665,789.8914133333333,55090.318838888874,ave_nfs
393,0.0,0.0,1048576.0,5120.0,32.0,16.0,2.0,32.0,0.19540000000000002,0.7165666666666667,,0.24296666666666666,26228.424633333332,7145.6851,,21072.394933333333,15819.43816,3277.5375466666665,,55090.318838888874,ave_localssd
394,0.0,0.0,1048576.0,5120.0,32.0,32.0,1.0,32.0,,,2.2827333333333333,0.067,,,2275.2986333333333,76493.15870000001,,,789.8914133333333,55090.318838888874,ave_nfs
395,0.0,0.0,1048576.0,5120.0,64.0,1.0,64.0,64.0,1.1453666666666666,5.644666666666667,45.332166666666666,0.09883333333333333,4470.2963,917.7087333333334,112.94416666666666,51905.0839,14404.411799999996,3609.577633333333,620.9064999999999,88043.05241666669,nfs
396,0.0,0.0,1048576.0,5120.0,64.0,2.0,32.0,64.0,0.42793333333333333,5.272200000000001,22.669700000000002,0.07843333333333334,11965.158366666665,1031.4463333333333,225.85243333333335,65314.735199999996,14404.411799999996,3609.577633333333,620.9064999999999,88043.05241666669,nfs
397,0.0,0.0,1048576.0,5120.0,64.0,4.0,16.0,64.0,0.36523333333333335,1.1146666666666667,11.3688,0.057333333333333326,15361.179733333332,4863.527733333333,450.354,90214.05329999999,14404.411799999996,3609.577633333333,620.9064999999999,88043.05241666669,nfs
398,0.0,0.0,1048576.0,5120.0,64.0,8.0,8.0,64.0,0.4040333333333333,1.3346666666666664,5.741433333333333,0.0486,13255.862633333332,3836.1713999999997,891.7635,105936.82540000002,14404.411799999996,3609.577633333333,620.9064999999999,88043.05241666669,ave_nfs
399,0.0,0.0,1048576.0,5120.0,64.0,16.0,4.0,64.0,0.18983333333333333,0.6920000000000001,,0.11893333333333334,26969.561966666664,7399.033966666667,,49304.85016666667,14404.411799999996,3609.577633333333,,88043.05241666669,ave_localssd
400,0.0,0.0,1048576.0,5120.0,64.0,32.0,2.0,64.0,,,3.6076333333333337,0.030966666666666667,,,1423.6184,165582.76653333334,,,620.9064999999999,88043.05241666669,ave_nfs
401,0.0,0.0,1048576.0,5120.0,128.0,1.0,128.0,128.0,1.2804,8.098,45.2995,0.11736666666666666,3999.0613,669.7860333333333,113.02556666666668,43788.4909,12592.996273333332,3437.8152133333338,688.3731199999999,112472.35984444444,nfs
402,0.0,0.0,1048576.0,5120.0,128.0,2.0,64.0,128.0,0.45113333333333333,7.928233333333334,22.670033333333333,0.08406666666666666,11349.872966666668,744.3974666666667,225.84906666666666,61979.06743333334,12592.996273333332,3437.8152133333338,688.3731199999999,112472.35984444444,nfs
403,0.0,0.0,1048576.0,5120.0,128.0,4.0,32.0,128.0,0.7997666666666667,1.1075000000000002,11.355433333333332,0.04153333333333333,7153.540866666667,4909.302733333333,450.8849,123513.51783333333,12592.996273333332,3437.8152133333338,688.3731199999999,112472.35984444444,nfs
404,0.0,0.0,1048576.0,5120.0,128.0,8.0,16.0,128.0,0.6725666666666666,1.3194333333333332,5.7317,0.03563333333333333,12796.222533333334,3880.3534,893.2824666666667,144402.33386666668,12592.996273333332,3437.8152133333338,688.3731199999999,112472.35984444444,ave_nfs
405,0.0,0.0,1048576.0,5120.0,128.0,16.0,8.0,128.0,0.18506666666666668,0.7435666666666667,,0.11359999999999999,27666.2837,6985.236433333333,,46125.60283333333,12592.996273333332,3437.8152133333338,,112472.35984444444,ave_localssd
406,0.0,0.0,1048576.0,5120.0,128.0,32.0,4.0,128.0,,,2.9113,0.0201,,,1758.8236,255025.1462,,,688.3731199999999,112472.35984444444,ave_nfs
407,0.0,0.0,1048576.0,5120.0,256.0,1.0,256.0,256.0,1.3232333333333333,3.515166666666667,,0.12793333333333334,3869.4508,1456.5477,,41098.66886666667,12498.698400000001,6004.992786666667,,133186.33635,localssd
408,0.0,0.0,1048576.0,5120.0,256.0,2.0,128.0,256.0,,,22.6882,0.09793333333333333,,,225.6679333333333,52870.299900000005,,,788.042325,133186.33635,nfs
409,0.0,0.0,1048576.0,5120.0,256.0,4.0,64.0,256.0,1.5007333333333335,2.6097333333333332,11.370133333333333,0.05226666666666666,4413.486233333333,1961.9127,450.30313333333334,102412.17616666667,12498.698400000001,6004.992786666667,788.042325,133186.33635,nfs
410,0.0,0.0,1048576.0,5120.0,256.0,8.0,32.0,256.0,0.8333666666666666,1.3639999999999999,5.7325333333333335,0.024066666666666667,6145.828366666666,3760.6513666666665,893.1548333333334,215649.96713333332,12498.698400000001,6004.992786666667,788.042325,133186.33635,ave_nfs
411,0.0,0.0,1048576.0,5120.0,256.0,16.0,16.0,256.0,0.27643333333333336,0.6713333333333334,,0.09146666666666665,19917.780766666667,7626.659133333334,,58075.542133333336,12498.698400000001,6004.992786666667,,133186.33635,ave_localssd
412,0.0,0.0,1048576.0,5120.0,256.0,32.0,8.0,256.0,0.1819333333333333,0.3364,3.246966666666667,0.015600000000000001,28146.94583333333,15219.193033333335,1583.0433999999998,329011.3639,12498.698400000001,6004.992786666667,788.042325,133186.33635,ave_nfs
413,0.0,0.0,1048576.0,5120.0,512.0,4.0,128.0,512.0,2.4304666666666663,2.7229333333333336,15.259099999999998,0.11676666666666667,5815.9616,1880.4732666666666,373.9149,44169.14796666667,10586.8003,7193.367025,791.7786,170172.57028333333,nfs
414,0.0,0.0,1048576.0,5120.0,512.0,8.0,64.0,512.0,1.6158666666666666,1.3576,5.760633333333334,0.04246666666666667,3169.5138,3776.8538000000003,888.7913666666667,121057.32046666666,10586.8003,7193.367025,791.7786,170172.57028333333,ave_nfs
415,0.0,0.0,1048576.0,5120.0,512.0,16.0,32.0,512.0,0.6584,0.6571333333333333,,0.06746666666666667,7809.706066666667,7791.465033333334,,76244.66729999999,10586.8003,7193.367025,,170172.57028333333,ave_localssd
416,0.0,0.0,1048576.0,5120.0,512.0,32.0,16.0,512.0,0.20376666666666665,0.33413333333333334,4.682266666666667,0.0118,25552.019733333334,15324.676,1112.6295333333335,439219.1454,10586.8003,7193.367025,791.7786,170172.57028333333,ave_nfs
417,0.0,0.0,1048576.0,5120.0,1024.0,8.0,128.0,1024.0,1.8336,1.4632333333333332,6.3226,0.10406666666666668,2793.1797666666666,3505.2583,811.1295333333334,49999.7922,7866.775044444444,8819.189433333333,844.4027,287612.96170000004,nfs
418,0.0,0.0,1048576.0,5120.0,1024.0,16.0,64.0,1024.0,4.541333333333333,0.6662333333333333,,0.05146666666666666,1127.9294,7695.643766666667,,101745.2785,7866.775044444444,8819.189433333333,,287612.96170000004,beegfs
419,0.0,0.0,1048576.0,5120.0,1024.0,32.0,32.0,1024.0,0.29446666666666665,0.3356333333333333,5.8373,0.007266666666666667,19679.215966666667,15256.666233333332,877.6758666666666,711093.8144,7866.775044444444,8819.189433333333,844.4027,287612.96170000004,ave_nfs
